dimension,tipo,label,categoria,n_casos,mediana,p25,p75,minimo,maximo,pct_dentro_label
dolor_nrs,numerica,verde,,123,2.0,1.0,3.0,0.0,6.0,
dolor_nrs,numerica,amarillo,,25,5.0,4.0,5.0,2.0,6.0,
dolor_nrs,numerica,rojo,,12,6.0,5.0,6.0,5.0,9.0,
fiebre_c,numerica,verde,,123,37.0,36.6,37.2,36.2,37.9,
fiebre_c,numerica,amarillo,,25,37.4,37.1,37.5,36.5,37.9,
fiebre_c,numerica,rojo,,12,38.1,38.0,38.52,37.9,39.5,
movilidad,categorica,verde,normal,75,,,,,,61.0
movilidad,categorica,verde,limitada_esperada,48,,,,,,39.0
movilidad,categorica,amarillo,normal,16,,,,,,64.0
movilidad,categorica,amarillo,limitada_esperada,9,,,,,,36.0
movilidad,categorica,rojo,limitada_esperada,4,,,,,,33.3
movilidad,categorica,rojo,incapacitante_nueva,4,,,,,,33.3
movilidad,categorica,rojo,normal,4,,,,,,33.3
herida,categorica,verde,normal,112,,,,,,91.1
herida,categorica,verde,eritema_leve,11,,,,,,8.9
herida,categorica,amarillo,eritema_leve,19,,,,,,76.0
herida,categorica,amarillo,normal,6,,,,,,24.0
herida,categorica,rojo,eritema_leve,9,,,,,,75.0
herida,categorica,rojo,secrecion_purulenta,3,,,,,,25.0
apetito,categorica,verde,normal,93,,,,,,75.6
apetito,categorica,verde,levemente_disminuido,25,,,,,,20.3
apetito,categorica,verde,muy_disminuido,5,,,,,,4.1
apetito,categorica,amarillo,muy_disminuido,12,,,,,,48.0
apetito,categorica,amarillo,levemente_disminuido,9,,,,,,36.0
apetito,categorica,amarillo,normal,4,,,,,,16.0
apetito,categorica,rojo,muy_disminuido,12,,,,,,100.0
sueno,categorica,verde,normal,90,,,,,,73.2
sueno,categorica,verde,levemente_alterado,29,,,,,,23.6
sueno,categorica,verde,muy_alterado,4,,,,,,3.3
sueno,categorica,amarillo,muy_alterado,16,,,,,,64.0
sueno,categorica,amarillo,normal,5,,,,,,20.0
sueno,categorica,amarillo,levemente_alterado,4,,,,,,16.0
sueno,categorica,rojo,muy_alterado,12,,,,,,100.0
